May 07 19:11:11 kiseki-storage-2 systemd[1]: Started Kiseki Storage Server (node 2, nvme).
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.866064Z  INFO kiseki_server: kiseki-server starting data_addr=0.0.0.0:9100 advisory_addr=0.0.0.0:9101
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.866185Z  WARN kiseki_server::runtime: advisory gRPC listening (PLAINTEXT — development only) addr=0.0.0.0:9101
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.866339Z  INFO run_advisory_stream_server{addr=0.0.0.0:9102}: kiseki_advisory::stream: advisory TCP stream server listening addr=0.0.0.0:9102
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.867235Z  INFO kiseki_server::runtime: system disk detected media_type=Nvme total_gb=49 soft_limit_gb=24 budget_gb=20
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.867252Z  INFO kiseki_server::runtime: node identity configured node_id=2 peers=3 raft_addr=Some(10.0.0.11:9300)
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.896399Z  INFO kiseki_server::runtime: key store at-rest identity source="file"
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.896513Z  INFO fjall::db: Creating database at /var/lib/kiseki/keys/epochs
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.904400Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.908767Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.911178Z  INFO kiseki_server::runtime: key manager: persistent (fjall) ready epoch=1
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.913851Z  INFO kiseki_server::runtime: small object store: persistent (redb) path=/var/lib/kiseki
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.914062Z  INFO kiseki_log::raft_shard_store: Raft runtime threads=64
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.916480Z  INFO kiseki_log::raft_shard_store: Raft RPC listener spawned (multiplexed, ADR-041) addr=10.0.0.11:9300
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.916604Z  WARN kiseki_raft::tcp_transport: Raft RPC listener started (plaintext — dev mode, multiplexed) addr=10.0.0.11:9300
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.916702Z  INFO fjall::db: Creating database at /var/lib/kiseki/raft/shard-00000000-0000-0000-0000-000000000001
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.922269Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.927456Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.928793Z  INFO openraft::storage::helper: get_initial_state: vote: <T0-N2:->, last_purged_log_id: None, last_applied: None, committed: None, last_log_id: None
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.928809Z  INFO openraft::storage::helper: load membership from log: [0..0)
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.928828Z  INFO openraft::storage::helper: load key log ids from (None,None]
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.937975Z  INFO openraft::engine::engine_impl: startup begin: state: RaftState { vote: Leased { data: Vote { leader_id: LeaderId { term: 0, node_id: 2 }, committed: false }, last_update: Some(TokioInstant(Instant { tv_sec: 92, tv_nsec: 269018358 })), lease: 0ns, lease_enabled: true }, log_ids: LogIdList { purged: None, key_log_ids: [] }, membership_state: MembershipState { committed: EffectiveMembership { log_id: None, membership: Membership { configs: [], nodes: {} }, voter_ids: {} }, effective: EffectiveMembership { log_id: None, membership: Membership { configs: [], nodes: {} }, voter_ids: {} } }, snapshot_meta: SnapshotMeta { last_log_id: None, last_membership: StoredMembership { log_id: None, membership: Membership { configs: [], nodes: {} } }, snapshot_id: "" }, last_inflight_id: 0, server_state: Learner, io_state: IOState { building_snapshot: false, log_progress: IOProgress { accepted: Some(Vote(UncommittedVote { leader_id: LeaderId { term: 0, node_id: 2 } })), submitted: Some(Vote(UncommittedVote { leader_id: LeaderId { term: 0, node_id: 2 } })), flushed: Some(Vote(UncommittedVote { leader_id: LeaderId { term: 0, node_id: 2 } })), id: "2", name: "LogIO" }, apply_progress: IOProgress { accepted: None, submitted: None, flushed: None, id: "2", name: "Apply" }, snapshot: IOProgress { accepted: None, submitted: None, flushed: None, id: "2", name: "Snapshot" }, cluster_committed: MonotonicIncrease { value: None }, purged: None }, purge_upto: None, progress_id_gen: SharedIdGenerator { next_id: 1 } }, is_leader: false, is_voter: false
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.938016Z  INFO openraft::engine::engine_impl: startup done, id=2, target_state: Learner
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.938015Z  INFO kiseki_log::raft_shard_store: shard registered with Raft RPC listener shard_id=00000000-0000-0000-0000-000000000001
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.938027Z  INFO kiseki_server::runtime: log store: Raft node_id=2 peers=3
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.938205Z  INFO fjall::db: Creating database at /var/lib/kiseki/raft/cluster_control
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.943490Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.948272Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.949642Z  INFO openraft::storage::helper: get_initial_state: vote: <T0-N2:->, last_purged_log_id: None, last_applied: None, committed: None, last_log_id: None
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.949663Z  INFO openraft::storage::helper: load membership from log: [0..0)
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.949673Z  INFO openraft::storage::helper: load key log ids from (None,None]
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.949755Z  INFO openraft::engine::engine_impl: startup begin: state: RaftState { vote: Leased { data: Vote { leader_id: LeaderId { term: 0, node_id: 2 }, committed: false }, last_update: Some(TokioInstant(Instant { tv_sec: 92, tv_nsec: 289861020 })), lease: 0ns, lease_enabled: true }, log_ids: LogIdList { purged: None, key_log_ids: [] }, membership_state: MembershipState { committed: EffectiveMembership { log_id: None, membership: Membership { configs: [], nodes: {} }, voter_ids: {} }, effective: EffectiveMembership { log_id: None, membership: Membership { configs: [], nodes: {} }, voter_ids: {} } }, snapshot_meta: SnapshotMeta { last_log_id: None, last_membership: StoredMembership { log_id: None, membership: Membership { configs: [], nodes: {} } }, snapshot_id: "" }, last_inflight_id: 0, server_state: Learner, io_state: IOState { building_snapshot: false, log_progress: IOProgress { accepted: Some(Vote(UncommittedVote { leader_id: LeaderId { term: 0, node_id: 2 } })), submitted: Some(Vote(UncommittedVote { leader_id: LeaderId { term: 0, node_id: 2 } })), flushed: Some(Vote(UncommittedVote { leader_id: LeaderId { term: 0, node_id: 2 } })), id: "2", name: "LogIO" }, apply_progress: IOProgress { accepted: None, submitted: None, flushed: None, id: "2", name: "Apply" }, snapshot: IOProgress { accepted: None, submitted: None, flushed: None, id: "2", name: "Snapshot" }, cluster_committed: MonotonicIncrease { value: None }, purged: None }, purge_upto: None, progress_id_gen: SharedIdGenerator { next_id: 1 } }, is_leader: false, is_voter: false
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.949802Z  INFO openraft::engine::engine_impl: startup done, id=2, target_state: Learner
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.949807Z  INFO kiseki_server::runtime: control-plane Raft group: up (ADR-033 §4) node_id=2 peers=3
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.949848Z  INFO kiseki_server::runtime: audit log: in-memory events=0
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.952208Z  INFO fjall::db: Creating database at /var/lib/kiseki/chunks/meta
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.952783Z  INFO openraft::engine::handler::vote_handler: vote is changing from <T0-N2:-> to <T10-N1:Q>
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.957693Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.962307Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.963629Z  INFO kiseki_server::runtime: chunk store: persistent (raw block, group commit) path=/var/lib/kiseki flush_interval_ms=100
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.963662Z  INFO kiseki_server::runtime: fabric peer registered for cross-node chunks peer_id=1 fabric_addr="10.0.0.10:9100"
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.963673Z  INFO kiseki_server::runtime: fabric peer registered for cross-node chunks peer_id=3 fabric_addr="10.0.0.12:9100"
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.963677Z  INFO kiseki_server::runtime: cross-node chunk replication enabled (Phase 16a) peers=2
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.963680Z  INFO kiseki_server::runtime: cluster durability defaults cluster_size=3 copies=3 min_acks=2 strategy=Replication { copies: 3 }
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.963693Z  INFO kiseki_server::runtime: scrub scheduler: spawned (orphan + under-replication, 10-min cadence, drain-on-shutdown)
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.963696Z  INFO kiseki_server::runtime: raw block devices configured devices=8
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.963753Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-0"
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.963763Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-1"
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.963769Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-2"
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.963774Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-3"
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.963778Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-4"
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.963782Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-5"
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.963787Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-6"
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.963791Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-7"
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.963888Z  INFO fjall::db: Creating database at /var/lib/kiseki/metadata/compositions
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.964756Z  INFO kiseki_chunk_cluster::scrub_scheduler: scrub scheduler: shutdown received, draining
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.968806Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.973215Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.976774Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.981996Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.983678Z  INFO kiseki_server::runtime: composition store: persistent (fjall, eventual durability) path=/var/lib/kiseki/metadata/compositions interval_ms=100
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.986331Z  INFO kiseki_server::runtime: view store: persistent (redb-backed, ADR-040) path=/var/lib/kiseki/metadata/views.redb
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.986917Z  INFO kiseki_server::runtime: bootstrap: namespace 'default' + view installed (Raft follower; will hydrate compositions from log)
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.986953Z  INFO kiseki_server::runtime: inline write path disabled in multi-node cluster — small writes go through fabric (Phase 16a)
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.986961Z  INFO kiseki_server::runtime: fsync hook: composition store (fjall) registered
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.986964Z  INFO kiseki_server::runtime: fsync hook: chunk-store device registered
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.987012Z  WARN kiseki::nfs::security: NFS path is PLAINTEXT — fh4s and data are observable on the network. Mitigations: VPC isolation, firewall ingress restrictions. Compliance: this configuration violates I-PN7-default and is acceptable only with documented compensating controls.
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.987022Z  INFO kiseki_server::runtime: NFS transport posture mode=Plaintext layout_ttl_seconds=60
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.987086Z  WARN kiseki_gateway::s3_server: S3 HTTP gateway listening (PLAINTEXT — development only) addr=0.0.0.0:9000
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.987150Z  INFO kiseki_server::runtime: portmapper listening (NFS3 + MOUNT3 → NFS port) addr=0.0.0.0:111 advertised_nfs_port=2049
May 07 19:11:11 kiseki-storage-2 kiseki-server[16653]: 2026-05-07T19:11:11.987151Z  INFO kiseki_gateway::nfs_server: NFS server listening (NFSv3 + NFSv4.2) addr=0.0.0.0:2049
