May 09 08:36:51 kiseki-storage-3 systemd[1]: Started Kiseki Storage Server (node 3, nvme).
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.055930Z  INFO kiseki_server: kiseki-server starting data_addr=0.0.0.0:9100 advisory_addr=0.0.0.0:9101
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.056059Z  WARN kiseki_server::runtime: advisory gRPC listening (PLAINTEXT — development only) addr=0.0.0.0:9101
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.056250Z  INFO run_advisory_stream_server{addr=0.0.0.0:9102}: kiseki_advisory::stream: advisory TCP stream server listening addr=0.0.0.0:9102
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.057120Z  INFO kiseki_server::runtime: system disk detected media_type=Nvme total_gb=49 soft_limit_gb=24 budget_gb=20
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.057139Z  INFO kiseki_server::runtime: node identity configured node_id=3 peers=3 raft_addr=Some(10.0.0.12:9300)
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.086771Z  INFO kiseki_server::runtime: key store at-rest identity source="file"
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.086901Z  INFO fjall::db: Creating database at /var/lib/kiseki/keys/epochs
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.095303Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.100229Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.103307Z  INFO kiseki_server::runtime: key manager: persistent (fjall) ready epoch=1
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.106173Z  INFO kiseki_server::runtime: small object store: persistent (redb) path=/var/lib/kiseki
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.106384Z  INFO kiseki_log::raft_shard_store: Raft runtime threads=64
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.108733Z  INFO kiseki_log::raft_shard_store: Raft RPC listener spawned (multiplexed, ADR-041) addr=10.0.0.12:9300
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.108880Z  WARN kiseki_raft::tcp_transport: Raft RPC listener started (plaintext — dev mode, multiplexed) addr=10.0.0.12:9300
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.108944Z  INFO fjall::db: Creating database at /var/lib/kiseki/raft/shard-00000000-0000-0000-0000-000000000001
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.114600Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.120011Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.121342Z  INFO openraft::storage::helper: get_initial_state: vote: <T0-N3:->, last_purged_log_id: None, last_applied: None, committed: None, last_log_id: None
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.121355Z  INFO openraft::storage::helper: load membership from log: [0..0)
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.121364Z  INFO openraft::storage::helper: load key log ids from (None,None]
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.130887Z  INFO kiseki_log::raft_shard_store: shard registered with Raft RPC listener shard_id=00000000-0000-0000-0000-000000000001
